item,id,name,artist,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,6VZdUa8JjaGF2LGsiRG9lC,Stomp!,The Brothers Johnson,0.869,0.729,7,0,-12.668,0.0418,0.134,0.269,0.0872,0.917,119.711,380400
1,5gaUkg5JNk8c4mr2jnpX8H,Give Me the Night,George Benson,0.835,0.765,1,1,-7.831,0.0681,0.475,0.0692,0.12,0.855,110.282,301026
2,3K7Q9PHUWPTaknlbFPThn2,Celebration,Kool & The Gang,0.885,0.664,1,1,-11.795,0.0524,0.145,0.0483,0.0767,0.906,121.632,298867
3,3pbtBomO4Zt5gGiqsYeiBH,Upside Down,Diana Ross,0.873,0.855,5,0,-8.559,0.0615,0.179,0.0285,0.0377,0.884,107.868,245600
4,5EAgXGJ8Kw5QAfhQkZXYqT,Master Blaster (Jammin'),Stevie Wonder,0.877,0.422,10,0,-14.933,0.0546,0.04,0.000406,0.182,0.97,131.103,307933
5,19tYXOfQFZ7gdGA3LAH76I,The Breaks,Kurtis Blow,0.818,0.67,11,0,-13.912,0.0757,0.122,0.00156,0.31,0.917,112.704,469267
6,3IVaPHncIZWWNjfg29HVLq,Love T.K.O.,Teddy Pendergrass,0.779,0.543,8,0,-10.544,0.0923,0.367,0.000443,0.0541,0.842,145.869,299120
7,3DIe90xqHuUDtyuapTwCAR,Take Your Time (Do It Right),The S.O.S Band,0.863,0.538,4,0,-13.924,0.0545,0.0129,0.0188,0.0877,0.877,118.931,460800
8,1Urr1PLp5Cy0ylztRSJvdB,Never Knew Love Like This Before (Extended Mix),Stephanie Mills,0.683,0.774,11,1,-6.736,0.0337,0.483,1.6e-05,0.0673,0.742,113.15,328267
9,0HYCfsLMVE61LZIVI3d1UA,I Need Your Lovin',Teena Marie,0.668,0.898,0,1,-6.14,0.0459,0.0059,0.00516,0.0712,0.756,109.808,452187
10,6NGsHLZYGVAkXTFr75WWnn,She's Out of My Life - Single Version,Michael Jackson,0.293,0.0348,4,1,-23.92,0.0414,0.962,0.000212,0.105,0.101,130.959,218267
11,6JHXiRD1QjMK1N6AQEnL04,Biggest Part of Me,Ambrosia,0.498,0.723,10,1,-8.053,0.05,0.238,0.0,0.353,0.882,153.227,324040
12,55xXj4qc4ByMxcVRb5Slc4,Funkin' for Jamaica,Tom Browne,0.822,0.854,8,1,-6.7,0.237,0.178,0.00574,0.0343,0.691,111.301,282080
13,6DVOThiin61bmeIwf6fzGx,"Don't Say Goodnight (It's Time for Love), Pts. 1 & 2",The Isley Brothers,0.462,0.248,9,1,-10.957,0.0365,0.856,0.014,0.181,0.276,99.042,345120
14,2DeAEzzTCLxrcsO60WuCka,A Lover's Holiday,Change,0.932,0.608,6,0,-6.401,0.189,0.0476,0.0194,0.0526,0.776,115.88,237120
15,5CI1FP2Volc9wjz2MBZsGx,Fame,Irene Cara,0.7,0.73,0,0,-8.763,0.0311,0.132,0.0,0.133,0.961,130.519,316067
16,7C7TiKlyYsVGNdvNJR1QeS,Don't Stop The Music,Yarbrough & Peoples,0.824,0.811,8,0,-6.109,0.0425,0.126,0.0595,0.0457,0.96,98.277,250000
17,02w5D2f9S2Kh8P1f5zLCcs,Backstrokin',Fatback Band,0.889,0.628,6,1,-9.142,0.139,0.0848,0.00291,0.0481,0.803,116.632,383427
18,2eADspwGh5Ad8tDoJ2bHsR,This Place Hotel (a.k.a. Heartbreak Hotel),The Jacksons,0.737,0.783,4,0,-7.466,0.078,0.367,0.000187,0.107,0.687,97.016,343787
19,0np4arBSp4ZBOfXGZhXQ4I,Shining Star,The Manhattans,0.612,0.329,4,1,-13.038,0.0365,0.0633,0.0,0.0658,0.572,74.046,281853
20,3nFJbZCHP4d9vduKjJLdBL,Never Too Much,Luther Vandross,0.734,0.586,2,1,-11.866,0.129,0.125,0.0,0.0367,0.762,109.933,230467
21,7KIQKq8H0yENFv6nEa41b5,Square Biz,Teena Marie,0.768,0.861,2,1,-10.967,0.0883,0.167,0.000143,0.42,0.779,113.599,385533
22,1gMDS0EJygVbVVQNhSUC7F,"She's A Bad Mama Jama (She's Built, She's Stacked)",Carl Carlton,0.899,0.488,0,1,-8.773,0.0677,0.168,7.76e-05,0.0722,0.677,113.964,347840
23,3jlKeObN7azQvrySwLdvP3,Turn Your Love Around - 2015 GH Version,George Benson,0.812,0.374,9,0,-12.835,0.0423,0.247,0.0,0.203,0.593,102.717,229440
24,4cgodXjv4TfrooNQxvlO4O,Atomic Dog,George Clinton,0.899,0.491,6,0,-11.043,0.258,0.148,3.82e-06,0.411,0.826,107.706,287107
25,657AuvSJPANciDfYJPZIgs,Fantastic Voyage - Extended,Lakeside,0.816,0.776,7,1,-7.36,0.0882,0.0446,5.44e-06,0.0786,0.962,114.745,368107
26,6uqTETWok9npbL4c9cuLVh,Clean up Woman,Betty Wright,0.865,0.652,5,1,-9.046,0.143,0.566,0.000919,0.0833,0.829,90.081,169533
27,2UCgWpa2r4ytWueNItYbWE,Let It Whip,Dazz Band,0.82,0.838,9,0,-6.86,0.041,0.109,0.00228,0.0452,0.947,132.125,281280
28,3koCCeSaVUyrRo3N2gHrd8,Let's Groove,"Earth, Wind & Fire",0.869,0.648,11,0,-8.698,0.0633,0.121,2.17e-05,0.126,0.9,125.035,339320
29,2xLF3ahtZH8YBBTFYkByuQ,Two Hearts - 12 Remix,Stephanie Mills,0.696,0.81,1,1,-6.331,0.0481,0.508,0.0208,0.103,0.617,107.141,359440
30,1kSxm4vU26W5xSUdnPUkyB,Yearning For Your Love,The Gap Band,0.586,0.437,2,1,-10.306,0.0264,0.0953,4.72e-06,0.124,0.458,90.717,340933
31,0QEebnjzgRsHR0lO6gHsn0,Before I Let Go,Maze & Frankie Beverly,0.803,0.511,6,0,-6.434,0.0365,0.108,1.97e-05,0.275,0.96,103.235,307267
32,13v3siPyvy5TTEZYmGPPse,Give It To Me Baby,Rick James,0.706,0.727,11,1,-8.714,0.0456,0.114,7.7e-05,0.174,0.965,119.55,248133
33,5CLozJK4pKWoPpFf2Z1Mye,Lady (You Bring Me Up),Commodores,0.892,0.593,0,0,-9.429,0.0405,0.2,0.000339,0.0996,0.867,120.979,293227
34,5mMxriCaSYyZopQDPYkyqT,Apache (Jump On It),The Sugarhill Gang,0.824,0.886,7,1,-9.929,0.139,0.274,0.0,0.0694,0.25,115.02,374760
35,7e176FKv7cq6SG9EXYMLoQ,What Cha' Gonna Do for Me,Chaka Khan,0.684,0.64,5,0,-9.906,0.0309,0.221,0.0102,0.179,0.776,106.023,234267
36,6wKAZB2lwOWeqpwquNHThG,Very Special,Debra Laws,0.54,0.523,8,0,-9.358,0.0563,0.585,0.0,0.0594,0.556,147.322,268173
37,4lxURgzko5Jizais6YqF3p,Endless Love,Lionel Richie,0.479,0.293,10,1,-11.562,0.0249,0.597,0.00208,0.144,0.175,93.645,266360
38,1Let4BYaYSum46nAGO1i6v,We're in This Love Together,Al Jarreau,0.597,0.323,5,1,-15.648,0.0494,0.56,2.24e-05,0.628,0.628,79.397,226067
39,3XrzApq8R10O6WwNwMw8t4,Silly,Deniece Williams,0.473,0.241,5,1,-14.872,0.0323,0.89,0.00386,0.141,0.404,115.163,357360
40,24c5K2qEq2wsBoIHveWPmW,Get It Up,The Time,0.856,0.278,4,0,-15.064,0.0752,0.0168,0.114,0.0497,0.87,112.569,547867
41,41dDygR3r7e926oGUXfrLt,I Can't Go for That (No Can Do),Daryl Hall & John Oates,0.889,0.441,0,0,-9.506,0.0379,0.0405,0.000788,0.038,0.963,110.565,307307
42,6BSHpKBd2pc3A9WQfRWzyM,If You Think You're Lonely Now,Bobby Womack,0.651,0.524,0,0,-11.63,0.0943,0.51,9.25e-05,0.128,0.651,72.766,333160
43,4Cv6ongCvJy9JfSkWVnb5D,Get Down On It,Kool & The Gang,0.847,0.389,9,0,-15.362,0.0569,0.0753,1.2e-05,0.0471,0.968,111.52,293667
44,1ko2lVN0vKGUl9zrU0qSlT,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",0.749,0.497,10,0,-12.609,0.105,0.41,0.0499,0.0504,0.585,95.818,438493
45,6UGlSlhwl2MNhsrg5Wepq3,Genius Of Love,Tom Tom Club,0.928,0.594,2,1,-10.839,0.0913,0.127,0.000413,0.0391,0.747,102.878,339053
46,18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight - 2015 Remastered,Phil Collins,0.446,0.239,0,1,-13.945,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,336453
47,2xsXNMfcKLQxL5sQq4v7gH,A Night to Remember,Shalamar,0.863,0.738,10,0,-6.314,0.0428,0.0658,0.000234,0.0969,0.947,108.851,299360
48,621BmKwXCNiTBfmeJtxoD8,"Do Me, Baby",Prince,0.612,0.258,1,0,-17.34,0.071,0.144,6.89e-05,0.3,0.343,70.208,463840
49,4UQH52FfgGpzDShKDbBvEA,Forget Me Nots - Remastered,Patrice Rushen,0.918,0.459,6,0,-6.962,0.0427,0.079,0.0593,0.0532,0.962,113.818,284507
50,17EVu5b0l5uo2gErSfqEt1,Love Come Down,Evelyn Champagne King,0.904,0.624,3,0,-5.936,0.045,0.00622,0.00171,0.0304,0.804,115.735,365760
51,1c5KZhtOAOH7eFOlBekNhS,I Like It,DeBarge,0.675,0.733,9,1,-4.5,0.0443,0.446,1.8e-05,0.201,0.83,175.011,279400
52,2yd0XI7g0BhAgY9GkpPClU,Outstanding,The Gap Band,0.738,0.498,6,1,-12.091,0.0286,0.223,1.57e-05,0.155,0.774,99.084,198800
53,6AeOM7N0rK3tYOINY2k5qy,It's Gonna Take a Miracle,Deniece Williams,0.567,0.458,7,1,-12.049,0.0257,0.85,0.000627,0.351,0.665,98.317,249640
54,0jqPIQVhfULwm81K7jlNeC,"Baby, Come To Me",Patti Austin,0.625,0.523,10,1,-10.903,0.0859,0.738,7.17e-06,0.125,0.666,90.226,217600
55,7iv0yhmDydsKLKjO63qmzy,Keep On,D-Train,0.766,0.915,6,0,-5.278,0.117,0.0544,0.000396,0.355,0.867,117.009,399277
56,1Y5B1vvFDia8MtyM16UgnN,Ribbon In The Sky,Stevie Wonder,0.6,0.317,10,0,-13.705,0.0293,0.731,0.00172,0.1,0.367,136.799,337067
57,3MWoJGrKXOTlEBIZzDoZkx,Jump to It,Aretha Franklin,0.826,0.609,11,1,-8.149,0.141,0.0748,8.41e-06,0.233,0.862,119.539,400987
58,5GvWrvLIqoHroq7YvO260M,I Keep Forgettin' (Every Time You're Near),Michael McDonald,0.734,0.485,4,0,-13.865,0.0465,0.357,0.00019,0.0401,0.933,95.321,222280
59,2374M0fQpWi3dLnB54qaLX,Africa,TOTO,0.671,0.373,9,1,-18.064,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893
60,3VZmChrnVW8JK6ano4gSED,Sexual Healing,Marvin Gaye,0.805,0.602,0,0,-9.7,0.0579,0.119,0.000122,0.0581,0.744,94.382,238600
61,6SetWNnANlNaeH22lF2VyB,And I Am Telling You I'm Not Going,Jennifer Holliday,0.377,0.537,10,1,-9.075,0.0357,0.142,1.12e-06,0.83,0.22,122.645,246293
62,3lORVP4o5ZD7sFOw9jiwTM,Circles,Atlantic Starr,0.82,0.593,10,0,-14.352,0.0388,0.0391,0.000451,0.0511,0.904,114.996,295747
63,4fTPWK0B2Mg5Gulq8rarbb,If This World Were Mine (with Luther Vandross),Luther Vandross,0.398,0.253,9,1,-16.1,0.0405,0.553,0.0,0.0765,0.326,120.851,323960
