item,genre,id,name,artist,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,A Cappella,4hObp5bmIJ3PP3cKA9K9GY,Don't Worry Be Happy,Bobby McFerrin,0.675,0.166,11,1,-22.602,0.171,0.88,7.14e-05,0.0461,0.747,68.837,294400
1,A Cappella,0HZk0QsXPhMNAWNDR3rYE8,Hallelujah,Pentatonix,0.364,0.378,7,0,-7.381,0.0331,0.47,0.0,0.339,0.366,89.918,268960
2,A Cappella,2mgPmzcrz3sBCR7AvCr6mE,Trebles Finals: Bright Lights Bigger City/Magic,The Treblemakers,0.577,0.525,9,0,-7.196,0.225,0.214,0.0,0.103,0.41,113.055,154147
3,A Cappella,07o54snAilKYHsW8bGFe9x,Bellas Finals: Price Tag/Don’t You (Forget About Me)/Give Me Everything/Just The Way You Are/Party In The U.S.A./Turn The Beat Around,The Barden Bellas,0.486,0.694,0,1,-5.8,0.141,0.574,0.0,0.125,0.248,109.41,216413
4,A Cappella,0phwM5a6TdLBDl0F9bk5fl,Riff Off: Mickey/Like A Virgin/Hit Me With Your Best Shot/S&M/Let’s Talk About Sex/I’ll Make Love To You/Feels Like The First Time/No Diggity,The Barden Bellas,0.571,0.499,11,1,-5.515,0.404,0.554,0.0,0.0908,0.755,126.434,224267
5,A Cappella,5mkoR8mVrEwpDQc9y54sM2,Sea Shanty Medley,Home Free,0.561,0.692,4,1,-5.71,0.0551,0.253,0.0,0.125,0.898,140.554,234362
6,A Cappella,2BFWptzKzwH3pY5Rqvy1Wm,Pool Mashup: Just The Way You Are/Just A Dream,The Barden Bellas,0.552,0.301,6,1,-7.28,0.033,0.916,5.64e-05,0.0712,0.642,110.257,98933
7,A Cappella,7j8FDy7eI1TommLedXXdHz,Creep,Pentatonix,0.333,0.379,3,1,-10.545,0.0414,0.226,0.0,0.0902,0.132,102.236,147000
8,A Cappella,0ZFeVCKCMCXUQ1TKVd2azW,The Sound of Silence,Pentatonix,0.439,0.43,9,1,-7.432,0.0273,0.16,0.0,0.368,0.26,90.99,212637
9,A Cappella,1klGbW5a9qTBFUjFfddbmU,Can't Sleep Love,Pentatonix,0.73,0.433,2,1,-7.05,0.0455,0.0849,0.0,0.169,0.572,94.596,173053
10,Acid House,3aQz0z86zrKjd1mcZlonxE,Infinity 2008 - Klaas Vocal Edit,Guru Josh Project,0.498,0.862,7,0,-6.02,0.0589,0.000313,0.00941,0.352,0.47,128.034,192294
11,Acid House,3YXIVMQLRRq2K7kxC7UYx6,Move Your Body,Marshall Jefferson,0.791,0.801,4,0,-6.344,0.07,0.00531,0.189,0.509,0.609,124.985,196110
12,Acid House,5NKHUvpRs7zr0yOQjx8Exr,Clear,Cybotron,0.802,0.637,11,0,-13.008,0.0624,0.000231,0.831,0.587,0.336,125.284,294533
13,Acid House,1E8hMeQvfgvQPjN3BZ2viF,Mystery of Love,Mr. Fingers,0.767,0.686,7,1,-10.476,0.0461,0.0681,0.91,0.111,0.565,114.07,430576
14,Acid House,2h7w0KHwHbx4WbG6WxjO7U,Pacific State,808 State,0.682,0.979,10,0,-6.496,0.0733,0.0649,0.882,0.14,0.277,124.188,351400
15,Acid House,0vryyKyxCFXT0gg670yNEw,Your Love,Frankie Knuckles,0.7,0.725,4,0,-11.433,0.0492,0.0439,0.851,0.125,0.129,116.824,403706
16,Acid House,5jhDeobWatA1XAHWKOWPh2,Killer,Adamski,0.785,0.546,10,0,-13.945,0.0587,0.0241,0.0681,0.0547,0.766,119.983,250760
17,Acid House,0DwAc0Z8Td3jv5frUznqu1,The Whistle Song,Frankie Knuckles,0.71,0.616,0,1,-16.306,0.116,0.0344,0.225,0.0936,0.398,120.385,417707
18,Acid House,5eAymAmVU6CyejjFJxvcMI,Move Your Body,Marshall Jefferson,0.785,0.907,4,0,-4.15,0.118,0.0156,1.14e-06,0.513,0.565,122.311,405760
19,Acid House,0ldLTYuqnHU92weLtw6W9m,3AM Eternal - Live at the S.S.L.,The KLF,0.616,0.977,1,1,-6.357,0.0827,0.0025,0.0124,0.942,0.744,119.303,232412
20,Acid Jazz,2AnTuxahfcAS7dGxGZnihY,Cantaloop (Flip Fantasia),Us3,0.852,0.655,5,0,-11.498,0.0645,0.107,2.07e-05,0.137,0.952,115.962,279360
21,Acid Jazz,2zAXsQFmNRcDQOSzuPrWTs,After Hours (The Antidote),Ronny Jordan,0.528,0.46,6,0,-17.036,0.0337,0.0447,0.00885,0.0795,0.637,169.351,351400
22,Acid Jazz,6iCsFk2zf1INRexhJQzRM0,I Remember You,Ronny Jordan,0.635,0.315,8,1,-13.359,0.0281,0.9,0.803,0.326,0.149,131.806,252333
23,Acid Jazz,09athuEe5kQfC7bV63jmGa,Apple Green,Mother Earth,0.311,0.582,7,0,-10.894,0.0651,0.126,0.00542,0.12,0.578,184.679,265760
24,Acid Jazz,2SC4TS2QvUcKvXRFGgyyDc,"Turn On, Tune In, Cop Out - Radio Edit",Freak Power,0.78,0.763,10,0,-8.14,0.0366,0.211,0.0971,0.0931,0.967,119.97,264093
25,Acid Jazz,54xrXbM3vHE6JkVqkorRdG,I Am The Black Gold Of The Sun,Nuyorican Soul,0.643,0.679,6,1,-10.885,0.0555,0.0196,0.476,0.0719,0.779,86.97,319733
26,Acid Jazz,4kJsd28kYN9n6X87Duf9Zp,Never Stop,The Brand New Heavies,0.717,0.81,4,1,-10.259,0.0692,0.00312,0.000449,0.0654,0.735,101.421,253333
27,Acid Jazz,2YxwTmbJP4oBy4W7DJ6hsq,The Creator Has A Master Plan - Original Album Version,Brooklyn Funk Essentials,0.81,0.59,5,0,-7.421,0.047,0.163,0.06,0.0961,0.662,120.017,350467
28,Acid Jazz,5RnLNOSL1nkBzil8mVM10o,Sometimes,The Brand New Heavies,0.784,0.677,9,0,-6.389,0.0323,0.0239,0.0,0.0883,0.691,96.916,286000
29,Acid Jazz,3RmH55iFcLckjAQBCshLsY,M.L. In The Sunshine,Count Basic,0.544,0.679,5,0,-10.651,0.0309,0.337,0.869,0.0865,0.938,172.102,275947
30,Acid Techno,6IfUW6lNAkiW3VVVzf9zYP,Intoxicated,Doruksen,0.601,0.98,7,1,-5.066,0.132,0.00555,0.86,0.475,0.155,154.966,309294
31,Acid Techno,7cEbICGWeFyBTmijsRtbjr,Vega,Ilija Djokovic,0.707,0.839,2,1,-8.239,0.0408,0.172,0.815,0.0986,0.231,123.983,201290
32,Acid Techno,5yQm4HrLdxmTEQgBN7XFnj,Close Your Eyes,Alignment,0.588,0.999,11,1,-4.212,0.0523,5.94e-05,0.716,0.163,0.0385,150.028,301080
33,Acid Techno,5UM6P3y6794GYNOzZvj2zh,I Want You,Butch,0.732,0.88,1,0,-5.836,0.101,0.00407,0.00929,0.0635,0.863,125.019,187286
34,Acid Techno,2vfSCFvMbpf4hwxt22Wx7b,In Silence,Amelie Lens,0.736,0.845,1,1,-12.017,0.0377,0.00548,0.901,0.111,0.198,128.009,393740
